data_as_on,state,city,sold_purchased,redeemed_encashed,units,note
02-02-2024,Andhra Pradesh,Vishakapatnam,89000000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Assam,Guwahati,202500000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Bihar,Patna,8000000,978000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Chandigarh,Chandigarh,627100000,72600000,"sold_or_purchased, redeemed_or_encashed in indian rupees",state: Data for Chandigarh is for the states of Punjab and Haryana
02-02-2024,Chhattisgarh,Raipur,282526000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Delhi,New Delhi,23241212000,1.04021E+11,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Goa,Panaji,298000000,9000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Gujarat,Gandhinagar,6298714000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Jammu and Kashmir,Srinagar,,5000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Jharkhand,Ranchi,50000000,135000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Karnataka,Bengaluru,3272803000,15000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Kerala,Thiruvananthapuram,284010000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Madhya Pradesh,Bhopal,182400000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Maharashtra,Mumbai,40093523000,2926334000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Odisha,Bhubaneshwar,4072601000,9620000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Rajasthan,Jaipur,1482600000,,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Sikkim,Gangtok,,425000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Sikkim,Patna,,1000000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Tamil Nadu,Chennai,15242010000,6825500000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,35549070000,22521899000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Uttar Pradesh,Lucknow,567100000,140500000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,33337930000,17229114000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,35549070000,22521899000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,Uttar Pradesh,Lucknow,567100000,140500000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,33337930000,17229114000,"sold_or_purchased, redeemed_or_encashed in indian rupees",
