data_as_on,state,city,bond_type,sold_purchased,redeemed_encashed,units,notes
02-02-2024,Andhra Pradesh,Vishakapatnam,One Crore Bond,20000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Andhra Pradesh,Vishakapatnam,One Lakh Bond,1000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Andhra Pradesh,Vishakapatnam,Ten Lakh Bond,68000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Assam,Guwahati,One Crore Bond,70000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Assam,Guwahati,One Lakh Bond,2500000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Assam,Guwahati,Ten Lakh Bond,130000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Bihar,Patna,One Crore Bond,,900000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Bihar,Patna,Ten Lakh Bond,8000000,78000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Chandigarh,Chandigarh,One Crore Bond,500000000,60000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
02-02-2024,Chandigarh,Chandigarh,One Lakh Bond,2000000,500000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
02-02-2024,Chandigarh,Chandigarh,Ten Lakh Bond,125000000,12000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
02-02-2024,Chandigarh,Chandigarh,Ten Thousand Bond,100000,100000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
02-02-2024,Chhattisgarh,Raipur,One Crore Bond,200000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Chhattisgarh,Raipur,One Lakh Bond,1500000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Chhattisgarh,Raipur,One Thousand Bond,6000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Chhattisgarh,Raipur,Ten Lakh Bond,81000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Chhattisgarh,Raipur,Ten Thousand Bond,20000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Delhi,New Delhi,One Crore Bond,22240000000,99000000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Delhi,New Delhi,One Lakh Bond,46100000,209400000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Delhi,New Delhi,One Thousand Bond,12000,45000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Delhi,New Delhi,Ten Lakh Bond,955000000,4810000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Delhi,New Delhi,Ten Thousand Bond,100000,1330000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Goa,Panaji,One Crore Bond,180000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Goa,Panaji,One Lakh Bond,30000000,4000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Goa,Panaji,Ten Lakh Bond,88000000,5000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Gujarat,Gandhinagar,One Crore Bond,5920000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Gujarat,Gandhinagar,One Lakh Bond,10100000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Gujarat,Gandhinagar,One Thousand Bond,74000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Gujarat,Gandhinagar,Ten Lakh Bond,368000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Gujarat,Gandhinagar,Ten Thousand Bond,540000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Jammu and Kashmir,Srinagar,Ten Lakh Bond,,5000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Jharkhand,Ranchi,One Crore Bond,50000000,110000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Jharkhand,Ranchi,One Lakh Bond,,1000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Jharkhand,Ranchi,Ten Lakh Bond,,24000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Karnataka,Bengaluru,One Crore Bond,2820000000,10000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Karnataka,Bengaluru,One Lakh Bond,9800000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Karnataka,Bengaluru,One Thousand Bond,3000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Karnataka,Bengaluru,Ten Lakh Bond,443000000,5000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Kerala,Thiruvananthapuram,One Crore Bond,260000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Kerala,Thiruvananthapuram,One Lakh Bond,2900000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Kerala,Thiruvananthapuram,Ten Lakh Bond,21000000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Kerala,Thiruvananthapuram,Ten Thousand Bond,110000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
