fiscal_year,political_party,party_status,category,value,unit,note
2023-24,All India Trinamool Congress,Recognized National Party,Income through Electoral Bonds,6124238000,value in indian rupees,
2023-24,Bharat Rashtra Samithi,Recognized State Party,Income through Electoral Bonds,4955200000,value in indian rupees,
2023-24,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,16846261000,value in indian rupees,
2023-24,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,2455000000,value in indian rupees,
2023-24,Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,600000000,value in indian rupees,
2023-24,Indian National Congress,Recognized National Party,Income through Electoral Bonds,8283600000,value in indian rupees,
2023-24,Janasena Party,,Income through Electoral Bonds,190000000,value in indian rupees,
2023-24,Janata Dal (Secular),Recognized State Party,Income through Electoral Bonds,410000000,value in indian rupees,
2023-24,Jharkhand Mukti Morcha,Recognized State Party,Income through Electoral Bonds,115000000,value in indian rupees,
2023-24,Nationalist Congress Party,Recognized National Party,Income through Electoral Bonds,15000000,value in indian rupees,
2023-24,Rashtriya Janata Dal,Recognized State Party,Income through Electoral Bonds,700000000,value in indian rupees,
2023-24,Shivsena,Recognized State Party,Income through Electoral Bonds,970014000,value in indian rupees,
2023-24,Sikkim Democratic Front,Recognized State Party,Income through Electoral Bonds,55000000,value in indian rupees,
2023-24,Sikkim Krantikari Morcha,Recognized State Party,Income through Electoral Bonds,290000000,value in indian rupees,
2023-24,Telugu Desam Party,Recognized State Party,Income through Electoral Bonds,1740800000,value in indian rupees,
2023-24,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Income through Electoral Bonds,1215000000,value in indian rupees,
2023-24,Aam Aadmi Party,Recognized National Party,Income through Electoral Bonds,101500000,value in indian rupees,
2022-23,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,12941499000,value in indian rupees,
2022-23,Bhartiya Janata Party,Recognized National Party,Party's Total Income,23608446398,value in indian rupees,
2022-23,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",21200642140,value in indian rupees,
2022-23,Indian National Congress,Recognized National Party,Income through Electoral Bonds,1710200000,value in indian rupees,
2022-23,Indian National Congress,Recognized National Party,Party's Total Income,4523757255,value in indian rupees,
2022-23,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",2686278300,value in indian rupees,
2022-23,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Income through Electoral Bonds,520000000,value in indian rupees,
2022-23,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Party's Total Income,747885212,value in indian rupees,
2022-23,Yuvajana Sramika Rythu Congress Party,Recognized State Party,"Income through Grants, Donations and Contributions",80036499,value in indian rupees,
2022-23,Telugu Desam Party,Recognized State Party,Income through Electoral Bonds,340000000,value in indian rupees,
2022-23,Telugu Desam Party,Recognized State Party,Party's Total Income,639945590,value in indian rupees,
2022-23,Telugu Desam Party,Recognized State Party,"Income through Grants, Donations and Contributions",617817209,value in indian rupees,
2022-23,Sikkim Krantikari Morcha,Recognized State Party,Income through Electoral Bonds,75000000,value in indian rupees,
2022-23,Sikkim Krantikari Morcha,Recognized State Party,Party's Total Income,84413696,value in indian rupees,
2022-23,Sikkim Krantikari Morcha,Recognized State Party,"Income through Grants, Donations and Contributions",,,data not available at source
2022-23,Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,1850000000,value in indian rupees,
2022-23,Dravida Munnetra Kazhagam,Recognized State Party,Party's Total Income,2143531703,value in indian rupees,
2022-23,Dravida Munnetra Kazhagam,Recognized State Party,"Income through Grants, Donations and Contributions",1863648601,value in indian rupees,
2022-23,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,1520000000,value in indian rupees,
2022-23,Biju Janata Dal,Recognized State Party,Party's Total Income,1810531619,value in indian rupees,
2022-23,Biju Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",1520000000,value in indian rupees,
2022-23,Bharat Rashtra Samithi,Recognized State Party,Income through Electoral Bonds,5290370000,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2022-23,Bharat Rashtra Samithi,Recognized State Party,Party's Total Income,7376776503,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2022-23,Bharat Rashtra Samithi,Recognized State Party,"Income through Grants, Donations and Contributions",6830688869,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2022-23,All India Trinamool Congress,Recognized National Party,Income through Electoral Bonds,3251000000,value in indian rupees,
2022-23,All India Trinamool Congress,Recognized National Party,Party's Total Income,3334579841,value in indian rupees,
2022-23,All India Trinamool Congress,Recognized National Party,"Income through Grants, Donations and Contributions",3271000000,value in indian rupees,
2022-23,Aam Aadmi Party,Recognized National Party,Party's Total Income,851703779,value in indian rupees,
2022-23,Aam Aadmi Party,Recognized National Party,"Income through Grants, Donations and Contributions",843416809,value in indian rupees,
2022-23,Janasena Party,,Income through Electoral Bonds,20000000,value in indian rupees,
2022-23,Jharkhand Mukti Morcha,Recognized State Party,Income through Electoral Bonds,10000000,value in indian rupees,
2022-23,Aam Aadmi Party,Recognized National Party,Income through Electoral Bonds,445500000,value in indian rupees,
2021-22,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Income through Electoral Bonds,600000000,value in indian rupees,
2021-22,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Party's Total Income,937242056,value in indian rupees,
2021-22,Yuvajana Sramika Rythu Congress Party,Recognized State Party,"Income through Grants, Donations and Contributions",800268245,value in indian rupees,
2021-22,Telugu Desam Party,Recognized State Party,Income through Electoral Bonds,35000000,value in indian rupees,
2021-22,Telugu Desam Party,Recognized State Party,Party's Total Income,60280222,value in indian rupees,
2021-22,Telugu Desam Party,Recognized State Party,"Income through Grants, Donations and Contributions",42775915,value in indian rupees,
2021-22,Shiromani Akali Dal,Recognized State Party,Income through Electoral Bonds,5000000,value in indian rupees,
2021-22,Shiromani Akali Dal,Recognized State Party,Party's Total Income,254148783,value in indian rupees,
2021-22,Shiromani Akali Dal,Recognized State Party,"Income through Grants, Donations and Contributions",249078200,value in indian rupees,
2021-22,Samajwadi Party,Recognized State Party,Income through Electoral Bonds,32100000,value in indian rupees,
2021-22,Samajwadi Party,Recognized State Party,Party's Total Income,610112914.7,value in indian rupees,
2021-22,Samajwadi Party,Recognized State Party,"Income through Grants, Donations and Contributions",333403347,value in indian rupees,
2021-22,Nationalist Congress Party,Recognized National Party,Income through Electoral Bonds,140000000,value in indian rupees,
2021-22,Nationalist Congress Party,Recognized National Party,Party's Total Income,758431177,value in indian rupees,
2021-22,Nationalist Congress Party,Recognized National Party,"Income through Grants, Donations and Contributions",719565000,value in indian rupees,
2021-22,Maharashtrawadi Gomantak Party,Recognized State Party,Income through Electoral Bonds,5500000,value in indian rupees,value: as reported in contribution report for 2021-22
2021-22,Maharashtrawadi Gomantak Party,Recognized State Party,Party's Total Income,18650000,value in indian rupees,
2021-22,Maharashtrawadi Gomantak Party,Recognized State Party,"Income through Grants, Donations and Contributions",18650000,value in indian rupees,
2021-22,Janata Dal (United),Recognized State Party,Income through Electoral Bonds,100000000,value in indian rupees,
2021-22,Janata Dal (United),Recognized State Party,Party's Total Income,865551071,value in indian rupees,
2021-22,Janata Dal (United),Recognized State Party,"Income through Grants, Donations and Contributions",350941721,value in indian rupees,
2021-22,Indian National Congress,Recognized National Party,Income through Electoral Bonds,2360995000,value in indian rupees,
2021-22,Indian National Congress,Recognized National Party,Party's Total Income,5412750033,value in indian rupees,
2021-22,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",3479967930,value in indian rupees,
2021-22,Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,3060000000,value in indian rupees,
2021-22,Dravida Munnetra Kazhagam,Recognized State Party,Party's Total Income,3187452965,value in indian rupees,
2021-22,Dravida Munnetra Kazhagam,Recognized State Party,"Income through Grants, Donations and Contributions",3081434945,value in indian rupees,
2021-22,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,2910000000,value in indian rupees,
2021-22,Biju Janata Dal,Recognized State Party,Party's Total Income,3072886551,value in indian rupees,
2021-22,Biju Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",2910000000,value in indian rupees,
2021-22,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,10337000000,value in indian rupees,
2021-22,Bhartiya Janata Party,Recognized National Party,Party's Total Income,19171211270,value in indian rupees,
2021-22,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",17754308025,value in indian rupees,
2021-22,Bharat Rashtra Samithi,Recognized State Party,Income through Electoral Bonds,1530000000,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
