fiscal_year,year,month,phase,sale_period,bond_type,transaction_type,bonds,amount,units
2023-24,2024,January,30,2nd January to 11th January 2024,One Lakh Bond,Redeemed or Encashed Bonds,35,3500000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,Ten Lakh Bond,Redeemed or Encashed Bonds,297,297000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,One Crore Bond,Redeemed or Encashed Bonds,540,5400000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,One Thousand Bond,Sold or Purchased Bonds,3,3000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,One Lakh Bond,Sold or Purchased Bonds,40,4000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,Ten Lakh Bond,Sold or Purchased Bonds,314,314000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,One Crore Bond,Sold or Purchased Bonds,540,5400000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,One Thousand Bond,Bonds Transferred to PMNRF,3,3000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,One Lakh Bond,Bonds Transferred to PMNRF,5,500000,"bonds in absolute number, amount is Indian rupees"
2023-24,2024,January,30,2nd January to 11th January 2024,Ten Lakh Bond,Bonds Transferred to PMNRF,17,17000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,One Crore Bond,Redeemed or Encashed Bonds,997,9970000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,One Crore Bond,Sold or Purchased Bonds,997,9970000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,One Lakh Bond,Redeemed or Encashed Bonds,23,2300000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,One Lakh Bond,Sold or Purchased Bonds,23,2300000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,Ten Lakh Bond,Redeemed or Encashed Bonds,88,88000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,Ten Lakh Bond,Sold or Purchased Bonds,88,88000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,Ten Thousand Bond,Redeemed or Encashed Bonds,1,10000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,Ten Thousand Bond,Sold or Purchased Bonds,1,10000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,November,29,6th November to 20th November 2023,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Crore Bond,Redeemed or Encashed Bonds,1095,10950000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Crore Bond,Sold or Purchased Bonds,1095,10950000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Lakh Bond,Redeemed or Encashed Bonds,302,30200000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Lakh Bond,Sold or Purchased Bonds,302,30200000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Thousand Bond,Redeemed or Encashed Bonds,52,52000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Thousand Bond,Sold or Purchased Bonds,57,57000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,One Thousand Bond,Bonds Transferred to PMNRF,5,5000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,Ten Lakh Bond,Redeemed or Encashed Bonds,503,503000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,Ten Lakh Bond,Sold or Purchased Bonds,503,503000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,Ten Thousand Bond,Redeemed or Encashed Bonds,55,550000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,Ten Thousand Bond,Sold or Purchased Bonds,55,550000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,October,28,4th October to 13th October 2023,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Crore Bond,Redeemed or Encashed Bonds,773,7730000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Crore Bond,Sold or Purchased Bonds,773,7730000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Lakh Bond,Redeemed or Encashed Bonds,215,21500000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Lakh Bond,Sold or Purchased Bonds,220,22000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Lakh Bond,Bonds Transferred to PMNRF,5,500000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Thousand Bond,Redeemed or Encashed Bonds,1,1000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Thousand Bond,Sold or Purchased Bonds,2,2000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,One Thousand Bond,Bonds Transferred to PMNRF,1,1000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,Ten Lakh Bond,Redeemed or Encashed Bonds,376,376000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,Ten Lakh Bond,Sold or Purchased Bonds,376,376000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,July,27,3rd July to 12th July 2023,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Crore Bond,Redeemed or Encashed Bonds,923,9230000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Crore Bond,Sold or Purchased Bonds,923,9230000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Lakh Bond,Redeemed or Encashed Bonds,54,5400000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Lakh Bond,Sold or Purchased Bonds,69,6900000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Lakh Bond,Bonds Transferred to PMNRF,15,1500000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Lakh Bond,Redeemed or Encashed Bonds,468,468000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Lakh Bond,Sold or Purchased Bonds,468,468000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Thousand Bond,Redeemed or Encashed Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Thousand Bond,Sold or Purchased Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Crore Bond,Redeemed or Encashed Bonds,300,3000000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Crore Bond,Sold or Purchased Bonds,300,3000000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Lakh Bond,Redeemed or Encashed Bonds,46,4600000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Lakh Bond,Sold or Purchased Bonds,46,4600000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Thousand Bond,Sold or Purchased Bonds,6,6000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Thousand Bond,Bonds Transferred to PMNRF,6,6000,"bonds in absolute number, amount is Indian rupees"
