Sr No._x,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix_x,"Bond
Number_x",Denominations_x,Issue Branch Code,Issue Teller,Status,Prefix_Bond,Sr No._y,Date of,Name of the Political Party,"Account no. of
Political Party",Prefix_y,"Bond
Number_y",Denominations_y,"Pay Branch
Code",Pay Teller
8985,8.47E+20,08-04-2022,08-04-2022,22-04-2022,KOYA AND COMPANY CONSTRUCTION LTD,OC,10000,10000000,847,3898296,Paid,OC10000,10376,12-04-2022,BHARAT RASHTRA SAMITHI,*******7477,OC,10000,10000000,847,3898296
5806,3.00E+20,07-10-2021,07-10-2021,21-10-2021,K RAHEJA CORP PVT LTD,OC,10001,10000000,300,7905165,Paid,OC10001,7043,08-10-2021,BHARAT RASHTRA SAMITHI,*******7477,OC,10001,10000000,847,6417329
5775,3.00E+20,07-10-2021,07-10-2021,21-10-2021,CAPSTAN TRADING LLP,OC,10002,10000000,300,7905165,Paid,OC10002,7066,08-10-2021,BHARAT RASHTRA SAMITHI,*******7477,OC,10002,10000000,847,6417329
5808,3.00E+20,07-10-2021,07-10-2021,21-10-2021,K RAHEJA CORP PVT LTD,OC,10003,10000000,300,7905165,Paid,OC10003,7045,08-10-2021,BHARAT RASHTRA SAMITHI,*******7477,OC,10003,10000000,847,6417329
5774,3.00E+20,07-10-2021,07-10-2021,21-10-2021,CAPSTAN TRADING LLP,OC,10004,10000000,300,7905165,Paid,OC10004,7065,08-10-2021,BHARAT RASHTRA SAMITHI,*******7477,OC,10004,10000000,847,6417329
5809,3.00E+20,07-10-2021,07-10-2021,21-10-2021,K RAHEJA CORP PVT LTD,OC,10005,10000000,300,7905165,Paid,OC10005,7046,08-10-2021,BHARAT RASHTRA SAMITHI,*******7477,OC,10005,10000000,847,6417329
6368,3.00E+20,03-01-2022,03-01-2022,17-01-2022,RAJESH MANNALAL AGRAWAL,OC,10006,10000000,300,7905165,Paid,OC10006,8796,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10006,10000000,691,7516991
6415,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10007,10000000,300,7905165,Paid,OC10007,8034,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10007,10000000,1,3490777
6367,3.00E+20,03-01-2022,03-01-2022,17-01-2022,RAJESH MANNALAL AGRAWAL,OC,10009,10000000,300,7905165,Paid,OC10009,8795,12-01-2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,10009,10000000,691,7516991
6419,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10010,10000000,300,7905165,Paid,OC10010,8038,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10010,10000000,1,3490777
6402,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10011,10000000,300,7905165,Paid,OC10011,8021,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10011,10000000,1,3490777
6428,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10012,10000000,300,7905165,Paid,OC10012,8047,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10012,10000000,1,3490777
6416,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10013,10000000,300,7905165,Paid,OC10013,8035,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10013,10000000,1,3490777
6420,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10014,10000000,300,7905165,Paid,OC10014,8039,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10014,10000000,1,3490777
6405,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10015,10000000,300,7905165,Paid,OC10015,8024,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10015,10000000,1,3490777
6424,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10016,10000000,300,7905165,Paid,OC10016,8043,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10016,10000000,1,3490777
6411,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10017,10000000,300,7905165,Paid,OC10017,8030,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10017,10000000,1,3490777
6427,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10018,10000000,300,7905165,Paid,OC10018,8046,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10018,10000000,1,3490777
6413,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10019,10000000,300,7905165,Paid,OC10019,8032,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10019,10000000,1,3490777
6417,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10020,10000000,300,7905165,Paid,OC10020,8036,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10020,10000000,1,3490777
6404,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10021,10000000,300,7905165,Paid,OC10021,8023,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10021,10000000,1,3490777
6423,3.00E+20,04-01-2022,04-01-2022,18-01-2022,PRARAMBH SECURITIES PVT LTDPROPRIET,OC,10022,10000000,300,7905165,Paid,OC10022,8042,10-01-2022,ALL INDIA TRINAMOOL CONGRESS,*******0688,OC,10022,10000000,1,3490777
